aX,aY,aZ,gX,gY,gZ
0.092,0.016,1.023,3.601,5.310,5.798
0.035,0.049,0.976,3.845,-2.319,8.667
0.022,0.039,0.977,3.967,-6.897,12.268
0.032,0.039,0.978,3.418,-3.662,15.015
-0.014,0.003,0.969,2.869,-2.319,17.517
0.034,-0.042,0.998,2.625,2.136,18.494
0.046,-0.057,0.997,3.113,0.000,18.066
-0.022,-0.075,0.974,3.723,-5.249,16.968
0.001,-0.068,0.981,3.967,-3.052,14.526
-0.065,-0.075,0.963,4.150,-0.183,11.536
0.075,-0.048,1.004,3.967,3.723,8.850
-0.013,-0.030,0.975,4.700,-3.113,7.141
-0.010,-0.009,0.965,5.066,-4.211,5.493
0.051,0.032,0.993,4.822,-0.183,5.737
0.063,0.061,0.993,4.944,-1.892,7.507
0.048,0.064,0.977,5.310,-5.005,10.559
0.035,0.038,0.991,5.127,-5.554,14.404
0.032,0.025,0.979,4.639,-5.920,17.700
0.006,-0.041,0.997,4.639,-7.385,20.386
-0.053,-0.110,0.998,4.822,-11.047,21.362
-0.080,-0.137,0.995,4.517,-14.893,18.799
-0.101,-0.152,0.979,4.395,-16.968,14.893
-0.130,-0.144,0.969,4.395,-16.785,10.376
-0.136,-0.109,0.961,4.089,-13.062,6.104
-0.103,-0.079,0.964,4.028,-7.385,2.686
-0.073,-0.036,0.975,3.723,-3.662,1.343
-0.047,0.021,0.982,3.540,-2.991,2.502
-0.035,0.053,0.985,3.906,-3.357,5.676
-0.041,0.055,0.989,4.028,-3.235,10.376
-0.041,0.064,0.977,3.723,-3.235,15.076
-0.059,0.042,0.994,3.540,-3.784,19.531
-0.082,-0.009,1.000,4.089,-5.066,23.743
-0.119,-0.051,0.999,4.456,-7.263,26.123
-0.140,-0.100,0.998,3.540,-9.705,25.818
-0.172,-0.135,0.980,3.479,-11.780,23.132
-0.206,-0.138,0.972,3.601,-13.611,19.287
-0.201,-0.112,0.968,3.662,-13.184,14.648
-0.198,-0.083,0.972,3.479,-11.841,11.108
-0.182,-0.057,0.974,3.784,-9.888,8.972
-0.166,-0.037,0.977,3.540,-7.751,7.629
-0.163,-0.020,0.975,3.235,-6.042,6.653
-0.136,-0.009,0.964,2.930,-3.357,5.920
-0.108,0.024,0.974,2.625,-0.977,6.226
-0.078,0.054,0.987,2.991,-0.488,8.545
-0.087,0.055,0.990,3.662,-1.953,13.550
-0.096,0.053,0.982,3.601,-3.113,18.127
-0.104,0.023,0.982,3.113,-3.052,21.301
-0.122,-0.020,0.992,3.052,-3.113,23.376
-0.142,-0.058,0.989,2.808,-3.906,23.621
-0.161,-0.067,0.988,2.686,-5.005,21.973
-0.154,-0.062,0.963,3.052,-5.249,19.897
-0.163,-0.019,0.947,3.540,-4.639,18.677
-0.165,-0.000,0.959,4.883,-1.343,18.799
-0.151,-0.018,0.989,4.944,2.686,19.043
-0.159,-0.004,0.989,4.822,2.625,19.409
-0.175,-0.015,0.983,4.822,1.282,20.142
-0.189,-0.012,0.974,4.272,2.808,20.691
-0.171,-0.011,0.952,3.662,5.493,21.362
-0.187,-0.021,0.973,3.967,7.690,22.278
-0.162,-0.026,0.979,3.784,9.521,22.461
-0.164,-0.015,0.985,3.906,8.972,22.888
-0.165,-0.003,0.989,4.028,6.592,23.132
-0.167,-0.015,1.001,4.639,4.150,23.804
-0.192,-0.026,0.991,4.456,0.427,24.109
-0.223,-0.041,0.979,4.333,-2.625,23.376
-0.234,-0.049,0.976,4.211,-3.113,22.400
-0.219,-0.056,0.971,3.967,-2.808,21.484
-0.208,-0.038,0.977,3.601,-2.686,20.081
-0.195,-0.039,0.978,3.479,-3.235,19.592
-0.200,-0.033,0.971,3.906,-4.333,19.592
-0.198,-0.036,0.973,3.967,-4.761,19.287
-0.217,-0.075,0.978,4.456,-4.700,19.714
-0.231,-0.093,0.960,4.211,-4.272,18.982
-0.237,-0.097,0.968,4.395,-2.869,17.029
-0.224,-0.073,0.974,4.578,-0.977,15.015
-0.211,-0.055,0.980,4.395,-0.183,13.245
-0.200,-0.067,0.981,4.456,-0.854,12.573
-0.206,-0.073,0.982,4.456,-2.136,11.841
-0.212,-0.081,0.982,4.395,-3.174,11.230
-0.209,-0.090,0.975,3.906,-3.540,10.803
-0.221,-0.085,0.975,3.662,-3.662,10.193

0.045,-0.015,0.947,-5.127,5.493,-7.568
-0.253,-0.236,1.044,-4.028,0.793,-10.803
-0.021,-0.140,0.935,-6.897,-0.244,-29.053
0.151,-0.191,1.227,-3.906,0.671,-39.001
0.418,0.039,0.828,-6.592,-8.606,-36.926
0.652,0.246,1.036,1.282,-8.301,-14.282
0.082,0.009,0.908,6.531,-19.775,15.747
0.179,-0.085,0.993,4.211,-4.639,18.127
0.357,-0.055,0.977,2.747,6.653,11.475
0.256,-0.008,0.973,3.235,-1.282,9.216
0.292,-0.021,0.981,3.479,-0.366,7.996
0.288,-0.014,0.978,3.601,-0.610,6.958
0.201,-0.207,0.975,3.906,-2.808,3.662
0.203,-0.027,0.979,3.479,-3.967,-2.686
0.312,0.003,0.994,4.089,-1.404,-0.977
0.224,0.003,0.974,3.662,-4.761,-1.343
0.251,-0.013,0.981,3.113,-3.906,-0.610
0.206,-0.028,0.983,3.479,-3.357,0.793
0.173,-0.045,0.973,3.357,-3.418,1.648
0.156,-0.045,0.983,3.174,-3.418,2.808
0.136,-0.052,0.990,2.747,-3.174,3.052
0.113,-0.059,0.972,2.380,-2.930,2.380
0.118,-0.026,0.978,2.136,-2.441,1.526
0.098,0.004,0.978,2.625,-2.991,2.014
0.104,0.026,0.985,2.930,-1.465,4.395
0.078,0.028,0.979,3.052,-0.793,8.057
0.032,-0.000,0.990,3.235,-0.305,11.230
0.010,-0.037,0.989,2.991,0.000,12.756
-0.004,-0.058,0.976,2.991,-0.122,12.634
0.006,-0.044,0.987,2.991,0.000,11.475
-0.012,-0.042,0.989,3.357,-1.343,10.681
0.009,-0.067,0.985,3.296,-0.488,10.132
-0.019,-0.096,0.990,3.296,0.183,9.644
-0.023,-0.130,0.978,3.113,-0.305,7.446
-0.035,-0.142,0.983,2.991,-0.671,3.723
-0.015,-0.089,0.983,3.540,-0.793,0.244
0.034,-0.017,0.971,3.418,0.122,-1.343
0.071,0.020,0.972,3.357,0.366,-0.183
0.075,0.043,0.982,3.235,0.061,3.723
0.102,0.036,0.986,3.357,-0.305,7.751
0.110,0.066,0.959,3.113,0.732,11.780
0.140,0.062,0.982,3.418,2.319,16.052
0.112,0.025,0.990,3.845,1.709,19.836
0.091,-0.013,0.974,3.906,1.587,21.729
0.059,-0.067,0.989,4.150,1.648,21.790
-0.174,-0.166,0.946,4.211,1.709,19.409
0.273,-0.061,1.077,2.563,13.916,13.489
0.003,-0.107,0.945,5.493,-6.348,11.841
-0.118,-0.073,0.941,5.859,-18.677,7.080
0.113,-0.041,1.006,4.150,3.601,5.371
0.026,0.035,0.962,4.639,-3.845,5.249
0.095,0.072,0.982,4.639,-2.930,9.460
0.118,0.051,0.995,4.272,-1.099,14.465
